Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HostsFileEditor.Core\HostsFileEditor.Core.csproj,File,HostsFileEditor.Core\HostsFileEditor.Core.csproj,,,System.Resources.Extensions 9.0.8,,,,,"System.Resources.Extensions, 9.0.8  Recommendation:  Remove System.Resources.Extensions, and replace with new package System.Resources.Extensions 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HostsFileEditor.Core\HostsFileEditor.Core.csproj,File,HostsFileEditor.Core\HostsFileEditor.Core.csproj,,,,,,,,Current target framework: net9.0-windows Recommended target framework: net10.0--windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.Core\HostsFileEditor.Core.csproj,File,HostsFileEditor.Core\HostsEntry.cs,201,16,"M:System.String.Format(System.String,System.ReadOnlySpan{System.Object})",,,,,"_unparsedText = HasCommentOnly                      ? $""# {_comment}""                      : string.Format(                          ""{0}{1} {2}{3}"",                          !Enabled ? ""# "" : string.Empty,                          IpAddress,                          HostNames,                          Comment.Trim() != string.Empty ? "" # "" + Comment : string.Empty);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.Core\HostsFileEditor.Core.csproj,File,HostsFileEditor.Core\HostsEntry.cs,129,27,"M:System.String.Join(System.String,System.ReadOnlySpan{System.String})",,,,,"string.Join(Environment.NewLine, [.. _errors.Values])"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HostsFileEditor.Core.Tests\HostsFileEditor.Core.Tests.csproj,File,HostsFileEditor.Core.Tests\HostsFileEditor.Core.Tests.csproj,,,,,,,,Current target framework: net9.0-windows Recommended target framework: net10.0--windows
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,,,Equin.ApplicationFramework.BindingListView 1.4.5222.35545,,,,,"Equin.ApplicationFramework.BindingListView, 1.4.5222.35545  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,,,System.Resources.ResourceManager 4.3.0,,,,,"System.Resources.ResourceManager, 4.3.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,,,,,,,,Current target framework: net9.0-windows Recommended target framework: net10.0-windows
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Extensions\FormExtensions.cs,13,4,T:System.Windows.Forms.Form,,,,,public static void ShowOrActivate(this Form form)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Extensions\FormExtensions.cs,21,12,M:System.Windows.Forms.Control.Show,,,,,form.Show();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Extensions\FormExtensions.cs,17,12,M:System.Windows.Forms.Form.Activate,,,,,form.Activate();
